file1,file2,import_similarity,method_similarity,label
awaitility-test-support/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-test-support/pom.xml,pom.xml,0.0,0.0,1
awaitility/pom.xml,pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-kotlin/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,pom.xml,0.0,0.0,1
awaitility-test-support/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-test-support/pom.xml,pom.xml,0.0,0.0,1
awaitility/pom.xml,pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,changelog.txt,0.0,0.0,1
.github/workflows/ci.yml,awaitility/pom.xml,0.0,0.0,1
awaitility/src/main/java/org/awaitility/core/DurationFactory.java,awaitility/src/test/java/org/awaitility/AwaitilityTest.java,0.06896551724137931,0.0,1
awaitility/src/main/java/org/awaitility/core/DurationFactory.java,changelog.txt,0.0,0.0,1
awaitility/src/test/java/org/awaitility/AwaitilityTest.java,changelog.txt,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-kotlin/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,pom.xml,0.0,0.0,1
awaitility-test-support/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-test-support/pom.xml,pom.xml,0.0,0.0,1
awaitility/pom.xml,pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-kotlin/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,pom.xml,0.0,0.0,1
awaitility-test-support/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-test-support/pom.xml,pom.xml,0.0,0.0,1
awaitility/pom.xml,pom.xml,0.0,0.0,1
awaitility/src/main/java/org/awaitility/pollinterval/FibonacciPollInterval.java,awaitility/src/test/java/org/awaitility/pollinterval/FibonacciPollIntervalTest.java,0.3333333333333333,0.0,1
awaitility-kotlin/src/main/kotlin/org/awaitility/kotlin/AwaitilityKt.kt,awaitility-kotlin/src/test/kotlin/org/awaitility/kotlin/KotlinTest.kt,0.08,0.0,1
awaitility-kotlin/pom.xml,changelog.txt,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-kotlin/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-osgi-test/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-kotlin/pom.xml,pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-scala/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-osgi-test/pom.xml,pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility-test-support/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-scala/pom.xml,pom.xml,0.0,0.0,1
awaitility-test-support/pom.xml,awaitility/pom.xml,0.0,0.0,1
awaitility-test-support/pom.xml,pom.xml,0.0,0.0,1
awaitility/pom.xml,pom.xml,0.0,0.0,1
awaitility-groovy/pom.xml,pom.xml,0.0,0.0,1
awaitility-kotlin/src/main/kotlin/org/awaitility/kotlin/AwaitilityKt.kt,awaitility-kotlin/src/test/kotlin/org/awaitility/kotlin/KotlinTest.kt,0.08,0.0,1
awaitility-kotlin/src/main/kotlin/org/awaitility/kotlin/AwaitilityKt.kt,changelog.txt,0.0,0.0,1
awaitility-kotlin/src/test/kotlin/org/awaitility/kotlin/KotlinTest.kt,changelog.txt,0.0,0.0,1
awaitility-kotlin/pom.xml,awaitility-kotlin/src/main/kotlin/org/awaitility/kotlin/AwaitilityKt.kt,0.0,0.0,1
